2026-04-27 13:49:03,963 - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
2026-04-27 13:54:39,722 - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
2026-04-27 14:40:52,049 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-022 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:54,237 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-023 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:56,410 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-024 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:58,592 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-025 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:00,777 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-026 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:02,962 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-027 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:05,157 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-028 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:07,337 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-029 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:09,505 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-030 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:11,718 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-031 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:13,887 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-032 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:16,015 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-033 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:18,196 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-034 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:41:24,569 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: roblox-mixed-012 | hash: 318b4383e19976fa | max_z: 44938.72 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 15:04:24,057 - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
2026-04-27 15:05:57,363 - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
